사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2022-11,1호선,0150,서울역,"1,316,422","1,277,104","203,139","193,877",2022-12-03 10:33:29
2022-11,1호선,0151,시청,"653,911","662,910","97,339","95,891",2022-12-03 10:33:29
2022-11,1호선,0152,종각,"924,585","898,103","141,959","131,890",2022-12-03 10:33:29
2022-11,1호선,0153,종로3가,"485,926","435,252","300,364","276,761",2022-12-03 10:33:29
2022-11,1호선,0154,종로5가,"436,948","438,774","242,398","232,286",2022-12-03 10:33:29
2022-11,1호선,0155,동대문,"220,069","206,472","117,440","116,436",2022-12-03 10:33:29
2022-11,1호선,0156,신설동,"285,012","275,205","117,073","112,432",2022-12-03 10:33:29
2022-11,1호선,0157,제기동,"233,878","221,879","266,335","285,648",2022-12-03 10:33:29
2022-11,1호선,0158,청량리(서울시립대입구),"341,039","339,255","247,954","251,899",2022-12-03 10:33:29
2022-11,1호선,0159,동묘앞,"135,459","143,887","151,050","154,599",2022-12-03 10:33:29
2022-11,2호선,0201,시청,"656,435","631,026","60,339","54,609",2022-12-03 10:33:29
2022-11,2호선,0202,을지로입구,"1,183,999","1,213,957","102,559","95,724",2022-12-03 10:33:29
2022-11,2호선,0203,을지로3가,"602,711","603,116","78,257","77,092",2022-12-03 10:33:29
2022-11,2호선,0204,을지로4가,"306,432","314,826","80,350","79,357",2022-12-03 10:33:29
2022-11,2호선,0205,동대문역사문화공원(DDP),"337,989","391,443","54,807","59,101",2022-12-03 10:33:29
2022-11,2호선,0206,신당,"323,109","335,904","92,432","94,299",2022-12-03 10:33:29
2022-11,2호선,0207,상왕십리,"347,947","333,074","64,775","65,847",2022-12-03 10:33:29
2022-11,2호선,0208,왕십리(성동구청),"445,949","378,836","52,319","45,511",2022-12-03 10:33:29
2022-11,2호선,0209,한양대,"361,978","397,968","14,285","15,186",2022-12-03 10:33:29
2022-11,2호선,0210,뚝섬,"589,326","624,810","58,728","59,614",2022-12-03 10:33:29
2022-11,2호선,0211,성수,"994,259","1,097,054","103,533","105,464",2022-12-03 10:33:29
2022-11,2호선,0212,건대입구,"986,298","1,058,395","90,587","94,453",2022-12-03 10:33:29
2022-11,2호선,0213,구의(광진구청),"588,255","570,919","102,695","104,095",2022-12-03 10:33:29
2022-11,2호선,0214,강변(동서울터미널),"837,072","797,412","120,410","117,435",2022-12-03 10:33:29
2022-11,2호선,0215,잠실나루,"336,094","326,356","86,393","86,509",2022-12-03 10:33:29
2022-11,2호선,0216,잠실(송파구청),"2,034,784","2,020,769","199,860","188,806",2022-12-03 10:33:29
2022-11,2호선,0217,잠실새내,"541,142","540,639","110,727","110,047",2022-12-03 10:33:29
2022-11,2호선,0218,종합운동장,"224,425","250,399","51,852","54,469",2022-12-03 10:33:29
2022-11,2호선,0219,삼성(무역센터),"1,430,604","1,449,180","119,367","111,008",2022-12-03 10:33:29
2022-11,2호선,0220,선릉,"1,332,193","1,186,135","221,314","195,212",2022-12-03 10:33:29
2022-11,2호선,0221,역삼,"1,259,239","1,441,972","145,444","148,446",2022-12-03 10:33:29
2022-11,2호선,0222,강남,"2,069,056","2,032,203","157,167","137,847",2022-12-03 10:33:29
2022-11,2호선,0223,교대(법원.검찰청),"782,139","890,671","157,722","178,400",2022-12-03 10:33:29
2022-11,2호선,0224,서초,"554,442","517,298","89,247","87,657",2022-12-03 10:33:29
2022-11,2호선,0225,방배,"447,486","466,536","75,632","75,145",2022-12-03 10:33:29
2022-11,2호선,0226,사당,"965,363","1,093,646","203,577","197,607",2022-12-03 10:33:29
2022-11,2호선,0227,낙성대(강감찬),"711,396","687,233","105,248","106,421",2022-12-03 10:33:29
2022-11,2호선,0228,서울대입구(관악구청),"1,210,108","1,181,598","174,106","164,016",2022-12-03 10:33:29
2022-11,2호선,0229,봉천,"549,605","499,582","145,781","145,612",2022-12-03 10:33:29
2022-11,2호선,0230,신림,"1,485,531","1,421,334","196,460","195,449",2022-12-03 10:33:29
2022-11,2호선,0231,신대방,"624,295","597,641","122,168","123,944",2022-12-03 10:33:29
2022-11,2호선,0232,구로디지털단지,"1,481,713","1,471,107","182,122","183,400",2022-12-03 10:33:29
2022-11,2호선,0233,대림(구로구청),"586,454","596,956","123,966","128,561",2022-12-03 10:33:29
2022-11,2호선,0234,신도림,"1,263,649","1,263,531","201,828","189,651",2022-12-03 10:33:29
2022-11,2호선,0235,문래,"529,858","549,936","85,147","85,192",2022-12-03 10:33:29
2022-11,2호선,0236,영등포구청,"518,103","540,832","98,516","98,019",2022-12-03 10:33:29
2022-11,2호선,0237,당산,"480,975","569,395","58,846","65,346",2022-12-03 10:33:29
2022-11,2호선,0238,합정,"874,778","959,269","70,131","70,687",2022-12-03 10:33:29
2022-11,2호선,0239,홍대입구,"1,799,913","1,939,984","95,127","91,586",2022-12-03 10:33:29
2022-11,2호선,0240,신촌,"999,867","1,019,869","120,852","118,939",2022-12-03 10:33:29
2022-11,2호선,0241,이대,"447,790","485,778","48,563","50,198",2022-12-03 10:33:29
2022-11,2호선,0242,아현,"251,391","235,484","63,515","62,702",2022-12-03 10:33:29
2022-11,2호선,0243,충정로(경기대입구),"242,024","262,101","48,466","48,549",2022-12-03 10:33:29
2022-11,2호선,0244,용답,"73,768","75,052","17,077","17,250",2022-12-03 10:33:29
2022-11,2호선,0245,신답,"39,732","43,139","9,827","10,639",2022-12-03 10:33:29
2022-11,2호선,0246,신설동,"79,136","74,442","31,578","32,747",2022-12-03 10:33:29
2022-11,2호선,0247,도림천,"28,713","30,149","8,516","9,327",2022-12-03 10:33:29
2022-11,2호선,0248,양천구청,"153,731","160,091","50,143","50,475",2022-12-03 10:33:29
2022-11,2호선,0249,신정네거리,"232,854","238,359","70,637","72,209",2022-12-03 10:33:29
2022-11,2호선,0250,용두(동대문구청),"47,072","45,520","23,103","24,131",2022-12-03 10:33:29
2022-11,3호선,0309,지축,"144,714","138,801","30,854","29,578",2022-12-03 10:33:29
2022-11,3호선,0310,구파발,"501,248","489,844","118,927","114,361",2022-12-03 10:33:29
2022-11,3호선,0311,연신내,"797,627","749,788","253,081","244,863",2022-12-03 10:33:29
2022-11,3호선,0312,불광,"343,163","366,222","136,327","150,205",2022-12-03 10:33:29
2022-11,3호선,0313,녹번,"382,438","336,589","78,472","77,049",2022-12-03 10:33:29
2022-11,3호선,0314,홍제,"389,964","367,588","140,539","137,888",2022-12-03 10:33:29
2022-11,3호선,0315,무악재,"89,446","88,492","30,328","32,946",2022-12-03 10:33:29
2022-11,3호선,0316,독립문,"152,443","160,027","67,512","67,756",2022-12-03 10:33:29
2022-11,3호선,0317,경복궁(정부서울청사),"656,386","678,756","102,107","106,235",2022-12-03 10:33:29
2022-11,3호선,0318,안국,"686,708","720,116","109,174","112,857",2022-12-03 10:33:29
2022-11,3호선,0319,종로3가,"223,526","271,582","58,455","65,103",2022-12-03 10:33:29
2022-11,3호선,0320,을지로3가,"261,094","263,779","50,257","47,353",2022-12-03 10:33:29
2022-11,3호선,0321,충무로,37,0,1,0,2022-12-03 10:33:29
2022-11,3호선,0322,동대입구,"288,473","325,230","42,062","48,142",2022-12-03 10:33:29
2022-11,3호선,0323,약수,"299,425","292,275","81,879","77,002",2022-12-03 10:33:29
2022-11,3호선,0324,금호,"183,266","165,952","52,633","51,226",2022-12-03 10:33:29
2022-11,3호선,0325,옥수,"205,644","210,955","59,582","59,737",2022-12-03 10:33:29
2022-11,3호선,0326,압구정,"793,755","871,630","139,529","138,506",2022-12-03 10:33:29
2022-11,3호선,0327,신사,"764,962","804,447","71,078","69,128",2022-12-03 10:33:29
2022-11,3호선,0328,잠원,"115,618","111,318","31,175","30,052",2022-12-03 10:33:29
2022-11,3호선,0329,고속터미널,"1,216,806","1,188,905","189,379","181,887",2022-12-03 10:33:29
2022-11,3호선,0330,교대(법원.검찰청),"346,506","229,551","74,395","45,327",2022-12-03 10:33:29
2022-11,3호선,0331,남부터미널(예술의전당),"733,770","753,561","123,493","125,226",2022-12-03 10:33:29
2022-11,3호선,0332,양재(서초구청),"918,142","1,008,637","151,296","151,922",2022-12-03 10:33:29
2022-11,3호선,0333,매봉,"284,440","275,323","65,358","60,710",2022-12-03 10:33:29
2022-11,3호선,0334,도곡,"124,304","126,340","23,978","22,669",2022-12-03 10:33:29
2022-11,3호선,0335,대치,"270,763","273,551","65,206","62,627",2022-12-03 10:33:29
2022-11,3호선,0336,학여울,"49,695","51,631","16,304","16,445",2022-12-03 10:33:29
2022-11,3호선,0337,대청,"237,091","220,319","58,881","56,719",2022-12-03 10:33:29
2022-11,3호선,0338,일원,"237,575","226,432","65,936","65,588",2022-12-03 10:33:29
2022-11,3호선,0339,수서,"422,758","431,474","111,429","109,919",2022-12-03 10:33:29
2022-11,3호선,0340,가락시장,"187,174","185,741","76,417","74,860",2022-12-03 10:33:29
2022-11,3호선,0341,경찰병원,"167,952","166,409","42,292","43,299",2022-12-03 10:33:29
2022-11,3호선,0342,오금,"157,361","137,566","30,538","29,260",2022-12-03 10:33:29
2022-11,4호선,0409,당고개,"196,597","171,204","73,416","72,070",2022-12-03 10:33:29
2022-11,4호선,0410,상계,"438,928","403,709","118,588","116,902",2022-12-03 10:33:29
2022-11,4호선,0411,노원,"463,779","542,416","92,851","92,263",2022-12-03 10:33:29
2022-11,4호선,0412,창동,"544,894","581,294","198,465","204,070",2022-12-03 10:33:29
2022-11,4호선,0413,쌍문,"681,712","620,390","165,637","163,120",2022-12-03 10:33:29
2022-11,4호선,0414,수유(강북구청),"812,514","815,263","188,380","188,276",2022-12-03 10:33:29
2022-11,4호선,0415,미아(서울사이버대학),"334,990","319,229","109,299","111,141",2022-12-03 10:33:29
2022-11,4호선,0416,미아사거리,"611,685","595,525","177,314","177,039",2022-12-03 10:33:29
2022-11,4호선,0417,길음,"522,654","524,182","117,567","118,574",2022-12-03 10:33:29
2022-11,4호선,0418,성신여대입구(돈암),"551,724","526,196","85,807","82,958",2022-12-03 10:33:29
2022-11,4호선,0419,한성대입구(삼선교),"359,612","344,625","73,667","72,935",2022-12-03 10:33:29
2022-11,4호선,0420,혜화,"965,403","966,374","136,372","135,474",2022-12-03 10:33:29
2022-11,4호선,0421,동대문,"406,862","422,644","145,523","142,371",2022-12-03 10:33:29
2022-11,4호선,0422,동대문역사문화공원(DDP),"428,197","372,848","57,990","51,854",2022-12-03 10:33:29
2022-11,4호선,0423,충무로,"699,420","723,926","117,543","119,806",2022-12-03 10:33:29
2022-11,4호선,0424,명동,"715,569","752,260","72,625","74,037",2022-12-03 10:33:29
2022-11,4호선,0425,회현(남대문시장),"562,302","587,383","185,473","183,498",2022-12-03 10:33:29
2022-11,4호선,0426,서울역,"310,940","548,353","39,331","52,366",2022-12-03 10:33:29
2022-11,4호선,0427,숙대입구(갈월),"388,333","372,670","54,424","51,047",2022-12-03 10:33:29
2022-11,4호선,0428,삼각지,"148,882","175,658","26,007","27,944",2022-12-03 10:33:29
2022-11,4호선,0429,신용산,"467,821","485,086","53,278","53,051",2022-12-03 10:33:29
2022-11,4호선,0430,이촌(국립중앙박물관),"230,304","253,753","51,620","53,612",2022-12-03 10:33:29
2022-11,4호선,0431,동작(현충원),"29,199","32,622","14,290","14,321",2022-12-03 10:33:29
2022-11,4호선,0432,총신대입구(이수),"407,202","453,492","150,148","157,757",2022-12-03 10:33:29
2022-11,4호선,0433,사당,"712,410","601,127","97,504","97,698",2022-12-03 10:33:29
2022-11,4호선,0434,남태령,"31,847","25,176","8,756","8,001",2022-12-03 10:33:29
2022-11,경부선,1001,서울역,"253,334","75,821","15,763","3,185",2022-12-03 10:33:29
2022-11,경부선,1002,남영,"244,449","261,182","37,136","37,923",2022-12-03 10:33:29
2022-11,경부선,1003,용산,"1,055,377","1,057,817","132,249","129,937",2022-12-03 10:33:29
2022-11,경부선,1004,노량진,"225,819","230,258","43,130","40,446",2022-12-03 10:33:29
2022-11,경부선,1005,대방,"266,956","296,825","58,383","60,022",2022-12-03 10:33:29
2022-11,경부선,1006,영등포,"980,805","1,013,226","244,511","243,898",2022-12-03 10:33:29
2022-11,경부선,1007,신도림,"95,902","99,012","26,092","30,414",2022-12-03 10:33:29
2022-11,경부선,1032,신길,"222,283","188,820","45,443","42,351",2022-12-03 10:33:29
2022-11,경부선,1701,구로,"437,557","459,703","98,461","94,355",2022-12-03 10:33:29
2022-11,경부선,1702,가산디지털단지,"442,858","525,111","36,499","40,868",2022-12-03 10:33:29
2022-11,경부선,1703,금천구청,"261,529","259,117","80,103","80,577",2022-12-03 10:33:29
2022-11,경부선,1704,석수,"230,316","206,805","48,697","46,216",2022-12-03 10:33:29
2022-11,경부선,1705,관악,"176,537","165,438","53,631","51,206",2022-12-03 10:33:29
2022-11,경부선,1706,안양,"639,896","630,046","114,530","118,111",2022-12-03 10:33:29
2022-11,경부선,1707,명학,"232,973","226,302","41,531","40,530",2022-12-03 10:33:29
2022-11,경부선,1708,금정,"694,315","707,901","119,894","122,184",2022-12-03 10:33:29
2022-11,경부선,1709,군포,"176,063","169,222","36,398","35,124",2022-12-03 10:33:29
2022-11,경부선,1710,의왕,"223,343","220,036","42,121","42,013",2022-12-03 10:33:29
2022-11,경부선,1711,성균관대,"401,616","397,615","53,764","53,998",2022-12-03 10:33:29
2022-11,경부선,1712,화서,"206,689","197,833","44,843","43,738",2022-12-03 10:33:29
2022-11,경부선,1713,수원,"1,021,489","1,091,266","143,652","147,255",2022-12-03 10:33:29
2022-11,경부선,1714,독산,"441,617","451,678","68,065","69,229",2022-12-03 10:33:29
2022-11,경부선,1715,세류,"83,236","74,849","16,023","15,375",2022-12-03 10:33:29
2022-11,경부선,1716,병점,"424,747","423,542","67,787","67,681",2022-12-03 10:33:29
2022-11,경부선,1717,세마,"74,045","69,852","15,821","14,544",2022-12-03 10:33:29
2022-11,경부선,1718,오산대,"102,351","93,909","18,587","17,712",2022-12-03 10:33:29
2022-11,경부선,1719,오산,"273,170","271,447","47,808","48,124",2022-12-03 10:33:29
2022-11,경부선,1720,진위,"45,173","38,737","9,531","9,180",2022-12-03 10:33:29
2022-11,경부선,1721,송탄,"124,752","122,033","21,793","21,173",2022-12-03 10:33:29
2022-11,경부선,1722,서정리,"225,538","209,789","33,078","32,335",2022-12-03 10:33:29
2022-11,경부선,1723,평택지제,"121,495","117,845","13,291","13,005",2022-12-03 10:33:29
2022-11,경부선,1724,평택,"360,927","368,522","64,207","63,386",2022-12-03 10:33:29
2022-11,경부선,1725,성환,"154,910","149,411","20,010","19,898",2022-12-03 10:33:29
2022-11,경부선,1726,직산,"22,519","22,633","5,186","4,855",2022-12-03 10:33:29
2022-11,경부선,1727,두정,"209,682","229,472","23,801","24,048",2022-12-03 10:33:29
2022-11,경부선,1728,천안,"180,037","169,266","51,419","52,126",2022-12-03 10:33:29
2022-11,경부선,1729,당정,"166,316","156,037","30,896","29,608",2022-12-03 10:33:29
2022-11,경부선,1749,서동탄,"34,501","30,908","7,657","7,114",2022-12-03 10:33:29
2022-11,경부선,1750,광명,"97,420","82,393","9,932","9,636",2022-12-03 10:33:29
2022-11,경인선,1801,개봉,"486,325","466,571","152,084","157,604",2022-12-03 10:33:29
2022-11,경인선,1802,오류동,"256,392","232,819","90,129","88,479",2022-12-03 10:33:29
2022-11,경인선,1803,역곡,"683,082","669,666","149,788","153,486",2022-12-03 10:33:29
2022-11,경인선,1804,부천,"761,185","762,514","205,013","207,246",2022-12-03 10:33:29
2022-11,경인선,1805,송내,"674,917","670,072","121,921","121,051",2022-12-03 10:33:29
2022-11,경인선,1806,부평,"724,346","783,384","136,690","138,853",2022-12-03 10:33:29
2022-11,경인선,1807,백운,"146,994","141,380","55,042","56,147",2022-12-03 10:33:29
2022-11,경인선,1808,동암,"376,870","373,357","97,949","98,612",2022-12-03 10:33:29
2022-11,경인선,1809,주안,"496,976","450,294","87,141","78,370",2022-12-03 10:33:29
2022-11,경인선,1810,제물포,"259,826","242,934","62,521","62,083",2022-12-03 10:33:29
2022-11,경인선,1811,동인천,"299,086","283,089","112,450","108,946",2022-12-03 10:33:29
2022-11,경인선,1812,인천,"83,551","60,889","36,046","32,840",2022-12-03 10:33:29
2022-11,경인선,1813,구일,"187,327","194,991","43,737","42,852",2022-12-03 10:33:29
2022-11,경인선,1814,소사,"201,160","199,694","62,377","63,389",2022-12-03 10:33:29
2022-11,경인선,1815,부개,"189,734","172,701","64,083","63,209",2022-12-03 10:33:29
2022-11,경인선,1816,간석,"129,348","120,493","44,561","42,475",2022-12-03 10:33:29
2022-11,경인선,1817,도원,"66,454","65,264","29,283","30,539",2022-12-03 10:33:29
2022-11,경인선,1821,온수(성공회대입구),"157,071","145,311","50,153","48,468",2022-12-03 10:33:29
2022-11,경인선,1822,중동,"204,420","187,106","70,805","69,374",2022-12-03 10:33:29
2022-11,경인선,1823,도화,"82,149","74,208","37,807","36,345",2022-12-03 10:33:29
2022-11,경원선,1008,이촌(국립중앙박물관),"86,685","65,155","29,778","25,456",2022-12-03 10:33:29
2022-11,경원선,1009,서빙고,"49,992","48,006","17,042","16,173",2022-12-03 10:33:29
2022-11,경원선,1010,한남,"87,636","83,625","29,290","27,493",2022-12-03 10:33:29
2022-11,경원선,1011,옥수,"1,751","1,274",154,89,2022-12-03 10:33:29
